Рыба №	Опыт №	Проба №	Маршрут
2	13	2	НОФХША+ШХХША-А-А-ККДДА-ДС…ЕЛКА-ШХЦЦФФЦЩГ+ШГ-Г-КЛЛКЗСЖЛЛЛЛЛКЩЦХША-А-ШХХША-А-ДССДА-ШХФФЦЩККЩЦХХЦЩККЩЦХША-А-А-ДСЕБЛЛЛИООИКА-ДСЕЛКА-А-ШХЦЦХХЦЩЗЗЩЩГ-ЦХША-ДСССССССР
2	13	3	НОИЛЕСДА+КЛЛККЛЕССР
2	14	1	НОИКДДА+А-А-ДССДА-ДССДА-А-А-ДДА-ДССДА-А-ШХЦЦФФФФХХХША-ШХХША-ДССДА-ДДА-ДДА-ДССДА-ДДА-ШХФФХША-А-ДССДККШША-ДДДССДДСР
2	14	2	НОФФООИКДССДА+ККДССДКА-ШККИИКА-ДСЕЛКА-А-ДСЕЛКШХЦЩЗССЗГ+ККГ-Г-Г-ЗССЗЩЦХША-ДДШХЦЩЗССЗЩЦЦЩКЛЛКГ-ЗССЗКЛЛМИИКА-А-ДСР
2	15	1	ПОФФООФХША+ККА-ШХФФХШДССДА-ШХЦЩГ-КЛЖСЗЗСТ
2	15	2	ПОФХШДССЕЛКДСЕЛКА+ШХХШДССДШХХШККДСЕЛКШХЦЦХХЦЩГ+ККЗСЖВЛЛВЛКГ-ЗССЗКМИКА-ДСЕЛКШХХША-ДСССЕР
2	15	3	НОИЛЕССЕЛКШХЦЩГ+ККГ-ЗССЗГ-ЗССЗГ-Г-ЗССЗГ-ЩЦЦЩКЛВЖСЗГ-ЗСТ
2	16	1	ПОФФООММИКА+ДССДА-ККДССДА-ШХХША-ДССДШХФООИКА-ШШДССДШХЦЩЗССЗГ+КККГ-ЗСЖВЛМИЛЛИММЛВВЖТТСЗГ-ШЦХХЦШЗССЗГ-КЛЖЖЛЛЖТ
2	16	2	НОМКГ+КЛЛКГ-ЩЦХШККДССДШХЦЩГ-ККЗСССССССССЖЛМООИИИИИКА+ШХФИЛЛКДСЕЛККККЛЛИООФХША-ДДА-ШХЦЩЗСТ
2	17	1	НОФФИКА+ДДДДДССДА-ШХФФХШДССССДШХФООМЖТ
2	17	2	НОФХША+ККА-КЛБЛКА-ДССДА-ДДШХЦЩЗСТ
2	17	3	НОФФИКА+ДССДА-КЛЕРРСДА-ККШХЦЩГ+Г-Г-ЩЦХШДССДШХФООФФФЦЩЗСЖВЛККЛЖТТТ
2	17	4	НОФФИКШХФФХША+ККДССДА-ШХХША-ДССДКЛЕССЕЛЛЕР
2	17	5	ПОИМЛЖСЗКЛЖССТ
2	17	6	НОИЛЕСДА+А-ШХФФХШШХЦЩГ+ЩГ-ЗССЗШЦХЦША-ККШХФООМКЩЦЦЩГ-ЗСТ
2	18	1	УОМККЛЖСЗГ+ЗССЗГ-КЛЛКГ-ЗССЗГ-ККГ-ЗССССЗЩЦХША+КЛБЛКА-ДДА-ШХЦЩГ-ЗСЖЛМИИИКА-А-А-ШХХШДССДА-ШХФФЦЦФООМККЛЛКГ-Г-ЗСТ
2	18	2	НОФФФХХЦЦХША+ДДДССДА-КЛЛИИКДСЕЛЛЕССЕЛИИКДССДА-ШХФФФФХША-ШХХША-А-ДССДШХФФФФФИКДДА-ДСССССССР
2	19	1	НОФФИКДССДА+ШХФООИИКА-ДССДДССДХФООФХША-А-ДССДШХХШКДДА-ШХЦЩГ+Г-Г-ЩЦЦЩГ-КЛЖТ
2	19	2	НОФХША+А-ШХХША-ККА-ДССДШХЦЩГ+ЩЦХХЦГ-КЛЖТ
