Рыба №	Опыт №	Проба №	Маршрут
5	8	1	ПОММООФЦЩКЛЖСЗККЩЦХШБЕССР
5	8	2	НОИИФФМКГ+КЛЖСЗГ-Г-Г-ЩЦХХХША+А-ШХКЛЕСДА-ШХХШКЛБЛКА-ДССДККДССДШХФИКА-ДСР
5	8	3	НОФЦЦХША+ШХХША-А-ДССДШХХШДССДШХЦЩГ+ККЗСТ
5	9	1	НОФЦЩГ+КЛЛЛЛКГ-ЩЦФФХША-ШХЦЩГ-ЩЦХША+ККШХФМЛЖССЖЛМИКДСР
5	9	2	НОФХША+ШХХША-ДССДА-ШХЦЩГ+ЗССЗГ-Г-Г-ШЦХХЦЦХША-А-ШХХШККА-ШХХХШДССДШХЦЗЗГ-ЩЦХША-ШХЦЗСЖЛЛЖСЗККГ-ЩЦХШККДССДА-ШХЦЗССЗЩЦХША-А-А-ДСР
5	10	1	ПОФХША+ККА-А-ДДШХЦЩЗССЗЩЦХШДДШХЦЩГ+КЛЖССТ
5	10	2	НОФХХЦГ+КЛЛЛМФХХЦГ-ЗССЗГ-Г-Г-Г-Г-Г-Г-ЗССЗЩЦХША+ККИМЛЛМООФХШККДСЕЛИМЛЛКККГ-ЗССЗЩЦХШККДШХЦЩЗСТ
5	10	3	НОФФФМИКГ+ЩЦХША+КЛЛКДДШХЦЩЩЦХХЦГ-ЗССЗЩЦХХЦЩГ-Г-ЗЗГ-ЩЦХША-ДСР
5	11	1	НОФФХШДССДШХЦЩГ+ЩЦЦЗСЖЛМФХШДДА+ДСЕЛИММИЛЕЕЛИИКШХЦЩЗССЗКЛЖТ
5	11	2	ПОМКГ+КЛЖСЗКЛЖСЗКМФХША+КЛЕСДККА-А-ДССДА-А-ШХЦЩКЛЖТ
5	12	1	ПОФЦЩГ+ЗССЗЩЦХША+ДСЕЛИООООИЛЛККЛЕСР
5	12	2	НОМММИКШХХШДССДА+ДДККА-ДДШХЦЩЗСЖЛМИКА-ДССДККШХЦЩЩЦХХЦЩГ+КЛЛКШХДСССР
5	13	1	ПОФЦЩГ+ЩЦЦЩГ-КМММООФХШДССДА+ШХФФХША-ШХЦЩГ-ЗСТ
5	13	2	ПОФХША+ШХХША-ДСЕБЛКА-А-А-КЛЛКА-А-А-ШХХШШДЦЩЗЗГ+ЩЦХША-ШХЦЩГ-КЛЖСЗЩЦША-КЛЛКШХЦЩЗСТТЖЛВЛКГ-ЗЗГ-ЩЦХША-ККДСРРСДА-ШХХША-КЛЕР
5	13	3	ПОФЦЩКЛВЛКГ-ЩЦХША+ККШХФИЛЛККЛЕР
5	13	4	НОФЦЦХША+ДССДА-ШХФООФХША-ДССДА-ШХЦЩГ+ЩЦЦЩККГ-ЩЦХХЦЩГ-ЩЦЦЦХХЦЩГ-ЗСТ
5	14	1	ПОФХШККГ+ШХЦЩКЛЛМИЛЕР
5	14	2	НОФХШДДА+КЛЛКККДДШХХШДДШХЦЩГ+ЩЩККЗССЗШЦХШДДШХЩЦЗСЖЛЛВЛКЗЩЦЦЩЗСГ-ЗССЗЦХШШХЦЗССЗЗСССЗЗСТ
5	15	1	НОФХШКЛЕР
5	15	2	ПОФХШДССДА+ДССДШХЦЩЗЗЩЦЦККЩЦХШДСР
5	15	3	НОФЦЩЗССЗГ-КЛЖСЗЦХХЦЗССЗЦХХЦЗССЗЦХША+А-ДССДШШДССДШХЦЗССЗСЖЛЛЖСЗЦХХЦЗССЗЩЦХХЦГ-ЗСЖЛЛЖССССССТ
5	15	4	ПОФХШКИИИИИФЦЩГ+ЗССЗЩЦЦЩЩЦХША-ДССДДССДШХЦЩЩЦХШДССССДШХЦЗССЗЦХШДССДШХЦЗССЗЦХШДССДШХЦЗССЗЦХХЦЗССЗЦХШККШХЦЩЗССЗЩЦХША+КЛЕСДШХХШДССДШХЦЗССЗЦХШДССТ
5	16	1	ПОФХШКИИКШХЦГ+ЗССЗГ-Г-ККЩЗССЗЦХША+ШХХШККДССДШХЦГ-ЗССЗЦХШДССДШХЦЗССЗЦХША-А-ШХХШДДШХЦЗССЗЩЦХША-ШХЦГ-ЗССЗЦХХЦЗССЗЩЦХШДССДШХЦЗССЗЦХШДССДА-А-ШХЦКККЛЖСЗЦХХЦЗСЖЛМФХШХЦЗСТ
5	17	1	НОФХША+ДССДА-ККШХШДССДА-ШХЦЩГ+КЛВЖСЗЗССЗЩЦХША-ДСР
5	17	2	НОФХХФФФФФЦЩГ+ЗССЗКЛЖСЗЩЦЦЩГ-ЗССЗЩЦХХЦЩЗСТ
5	17	3	НОФХШКЛБЛИИИФЦЦЦЩЗССЗЩЦХШДССДДСССР
5	18	1	НОММФХША+ШХХШДСРРЕЛККА-ШХЦЩГ+ККГ-ЗСЖЛЛЖСЗГ-ЩЦХША-ККДССДА-ККДССДЩХЦЩГ-ЗССЗЩЦЦЩЗСТ
5	18	2	НОФХШДСЕЛЛЕСДА-ШХЦЦХШДССДА+ККДССДДДДДШХЦЩГ+ЗССЗЩЦЦЩГ-ЗССЗГ-ЩЦХХЦЩЗЗЗССЗЩЦЦЩГ-ЩЦХХЦЩЗССЗЩЦХША-КИИИИКА-ДССДШХЦЩГ-Г-Г-ЗССЗКККЛЖССТ
5	18	3	НОФЦЩГ+ЩЦХШШХЦЩГ-ЗССЗЩЦХХЦЩЗССЗЩЦХША+ДССДШХЦЩЩЦХШДССДДСР
5	18	4	НОФХШШХЦЩЗССЗЩЦХХЦГ+ЗСЖЛЛЛМИКА+ШХХШКЛЕССР
5	19	1	ПОИКА+А-ДССДШХЦЩГ+ЗСЖЛКЩЦХШККШХЦЩГ-Г-ЗСЖЛМА-ДСР
5	19	2	ПОФХШДССДККА+ШХЦЩГ+ЩЦЦЩЗЗЗЛКЩЦХШДСР
5	19	3	НОФХША+ШХХШКИФЦЩГ+КЛЖСЗЩЦЦЩЗЩЦХХЦЩЗСЖЛЛЖТ
5	19	4	НОФШХА+ДСРРСДДССДШХЦЦХШШХЦЦХШДССССДШХЦЦХШДСР
5	20	1	НОФЦЩГ+КЛВЖТ
5	20	2	НОФХША+ШХЦЩГ+ЗСТ
5	20	3	НОМЛВЖСЗЩЦХША+ШХЦЩГ+ЩЦЦЩГ+ЗСЖЛЛЖСЗЩЦХШДСР
5	20	4	НОФХША+ШХЦЩГ+ЗССССЗЩЦХША-ШХЦЩЗССЗЩЦХШДДШХЦЩКЛЖТ
5	20	5	ПОФХША+ШХЦЩКЛЖСЗЩЦЦЩГ+ЗСТТССТ
5	20	6	НОМКГ+ЗССЗЩЦЦЩЗССССЗЩЦХХЦЩЗСССТ
5	20	7	НОФЦЩГ+ЗССЗЩЦХШШХЦЩЗССЗЩЦХХЦЩЗССЗЩЦХША+А-ШХЦЩГ-КЛЖТ
5	21	1	НОФЦЩГ+Г-ЩЦХШДСР
5	21	2	НОФЦЩГ+ЗЗЩЦХША+ШХЦЩГ-КЛЖТ
5	21	3	НОФХЩА+КИМКЩЦЦЩЗСТ
5	21	4	НОФФФХША+ШХЦЩКЛЛКЗСТТСЗГ+Г-КМООФХШДССДШХЦЩЗССЗЩЦХХЦЦФООФЗСТ
5	21	5	ПОФХЩА+ДССДДСР
5	22	1	НОФХША+ШХХША-КЛЛКА-ДССДА-ШХЦЩГ+КЛЖТ
5	22	2	ПОФФФХША+ШХЦЩКЛЛКЩЦХШДСРРСДА-ДССДШХЦЩГ+ККЩЦЦЩЗСТ
5	22	3	ПОФХША+ШХФФЦЩГ+КЛЖЖЛКЩЦХШДДКЛЕЕЛКШХЦЩЩЦЦЩЗССЗКЛЖТ
5	22	4	НОФХША+ШША-ККШХЦЩКЛЖСЗЩЦХХЦЩЗССЗЩЦХШШШХЦЩКЛЖТ
5	23	1	ПОФХША+ШХХША-КИМКГ+ЩЦФИКДСР
5	23	2	ПОМЛЛКГ+ЩЦХША+ШХЦЩГ-ЗСТ
5	23	3	ПОФФФХША+ШХЦЩКЛЖСЗГ+КЛЖСТ
5	23	4	НОФФООФХША+КИООММММФХШДССДШХЦЩГ+ККЗСТ
5	23	5	НОФЦЩГ+ККЗССЗЩЦХШШХЦЩЗССЗЩЦХША+ШХЦЩЗСТ
5	23	6	НОФХХЦЩКЛЛКЩЦХХЦЩГ+ЩЦХХЦЩЗСССССССССССССТ
5	24	1	НОФЦЩГ+ЩЦХША+ШХЦЩГ-ЗСЖЛЛЖТ
5	24	2	НОФХШДДККШХФООФМММККГ+КМОФХШШХХША+ЗСЖЛЛЖТ
5	24	3	НОФЦЦХША+КЛЕЕЛИИИООМКЩЦХШДСССЕЛИМЛЖТ
5	24	4	НОМККЛЖТ
5	24	5	ПОМКЗССЗГ+ЗСТ
5	24	6	НОФХШКЛЛИМЛЖЖЛМООИЛЕСДА+КЛЕР
5	24	7	ПОММООИКЛЕР
5	24	8	ПОМЛЛКГ+КЛЖТ
5	25	1	НОФХША+ШХЦЩГ+КЛЖТ
5	25	2	ПОФХША+ШХЦЩЗССЗЩЦХШШХЦЩГ+ККЗСТ
5	25	3	НОФШХЦЩГ+КЛЛКЗССЗЩЦХШШХЦЩКЛЖТ
5	25	4	НОФША+ШХХШДСР
5	25	5	НОФЦЩГ+ЗССССЗКЛЖТ
5	25	6	ПОФХША+ШХЦЩЗССЗКЛЛКГ+ЗСТ
5	25	7	ПОФФМКГ+ЗССССЗЩЦХШШХЦЩЗСТ
5	26	1	ПОФХША+ККШХЦЩЗСЖЛКГ+ЩЦХШДСЕЛКА-ШХЩЦКЛЖТ
5	26	2	ПОФХХЦЩГ+ККЩЦХХХШДСР
5	26	3	ПОФМКЗСССЖЛМООИКА+КИМКЗСТ
5	26	4	ПОМКГ+КМИККЛЛИООИИММММИИМКЩЦХША+ШХЦЩЗССЗКЛЖТ
5	26	5	НОИИИЛЕСДДССДШХЦЩГ+ЗСССССТ
5	26	6	НОМЛЖЖЛМИЛЛИМЛЖТ
6	3	1	НОИЛКШХХША+ККШХЦЦЦЩЗССЗГ+КЛЖСССЗЩЦХШДДШХЦЦХШДССССССДШХЦЩЗССЗЩЩЗЗЩЦХШДДШШДССССДШХЦЩЗСССТ
6	3	2	НОИЛКДДШХЦЦХШДДШХЦЦХШДССДШХЦЩЗЗЩЦХШШХЦЩЩЦХШШХЦЩЗЗЩЦХША+ДССДШХЦЦЦЩЗССССЗЩЩЦЩЗССССЗЩЦЦЩЗССЗЩЦЦЩЗССССЗЩЦЦЩЗССЗЩЦХШШХЦШЗСТ
6	3	3	НОМЛКГ+КЛЖССССТ
6	4	1	НОФХШККШЛЦЩЗЗЩЦХШШХЦЩЗССЗЗССЗЩЦХХЦЩЗССССЗЩЦХХЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХШДССДШХЦЩЗССЗЩЦХХЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХХЦЩЗСТ
6	4	2	ПОИКА+ДССССДШХЦЩЗССЗЩЦХШДССДШХЦЩДСССССССССР
6	4	3	НОФХША+ДДКЛЛКДССДШХЦЩГ+ЗССЗГ-ЩЦХШШХЦЩЩЦХХЦЩЗССЗЩЦХХЦЩЗССЗЩЦХШШХЦЩЩЦХШШХХШДССДШХЦЩЗССЗЩЦШШХЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХШДРРСДКИМЛКЩЦХШКЛЛКШХЦЩЗСТ
6	5	1	ПОООИИИИИЛЛКДДШХЦЩЩЦХШШХЦЩЩЦХШШХЦЩЩЦХШДССДШХЦЩЗССЗЩЦХХЦЩЗССЗЩЦХХЦЩЗССЗЩЦХШДССДШХЦЩЗССССССЩЦХХЦЩЗСССССССТ
6	5	2	НОФЦЩЗССЗЩЦХХЦЩЗССССССЗЩЦХШШХЦЩЗССССССССССССЗЩЦХХЦЩЗССЗЩЩЦХШШХЦЩЗССЗЩЦХХЦЩЗССССЗЩЦХХЦЩЗССССЗЩЦХХЦЩЗССССССЗЩЦХХЦЩЗСССССССССССССССССССССССССССССССССССТ
6	5	3	НОФЦЦХЩДССДШХЦЩЗССЗЩЦХХЦЦХХЦЦХХЦЦХХЦЩЗССЗЩЦХХЦЩЩЦХХЦЩЗССЗЩЦХХЦЦХШКЛЕР
6	6	1	ПОФЦЩГ+ЗССЗЩЦХХЦЩЗССССССССССЗЩЦХХЦЩЗССЗЩЦЦЩЗССЗЩЦХХЦЩЗССЗЩЦЦЩЗССЗЩЦЦЩЗССЗЩЦЦЩЗССЗЩЦХШДДШХЦЩЩЦХХЦЩЗССССССССССЗЩЦХША+ШХЦЩЗССЗЩЦХХЦЩЗССССССССЗЩЦЦЩЗССССССССССССЗЩЦХХЦЩЩЦХХЦЩЗСЖЖССТ
6	6	2	ПОИЛЕСДА+ККДСЕЛБИИИИККЛЕСДССДШХЦЩЩЦХШДДШХЦЩЗССЗЩЦХХЦЩЩЦХШДСР
6	7	1	НОИЛКШХЦЩЗССЗЩЦХШЖСР
6	7	2	ПОФЦЩЗССЗЩЦХХЦЩЗССЗЩЦХХЦЩЩЦХХЦЩЗСТ
6	7	3	ПОФЦЩКЛЛМФХХЦЩЗССССЗЩЦХХЦЩЩЦХШШХЦЩЗССССССЗЩЦЦЩЗССЗЩЦХШШХЦЩЗССССЗЩЦХХЦЩЩЦЦЩЗССЗЩЦХШШХЦЩЗССЗЩЦХХШШХЦЩЩЦХХЦЩЗССЗКЗССЗЩЦЦЩЗЗЩЦЩЩЦХШШХЦЩЗСТ
6	7	4	НОФЦЩЗСЖЛМИКА+ДССДШХЦЦХШШХХШШХЦЩЩЦХШШХЦЩЩЦХШЩА-ШХЦЩЩЦХШДСССР
6	8	1	НОММИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИМКЗСТТЖЛКГ-ЩЦХХЦЩЗССССССЗГ+КЛЛЛККЛЖСЗЩЦХХФООМЛЖСТ
6	8	2	ПОООМЛЖТ
6	8	3	НОООООООООМЛЛКЗЗЩЦЦЩЗЗГ-ЗССЗКЛЛКЩЦЦЩЗЗЩЦЦЩЗССЗЩЩЗССССССССССЗЩЦХШДДШХЦЩЩЦХШШХЦЩЗССЗЩЦХШШХЦЩЩЦХШШХЦЩЩЦХШШХЦЩЗССЗЩЦХШШХШЩЩЦХХЦЩЗСССССТ
6	8	4	НОФФФХХФООМКЩЩЦЦЩЩЦЦЩЗССССЗЗССЗЩЦХШДДШХЦЩЗССЗЗСТ
6	9	1	НОФХШДДШХЦЩЗЗЩЦЦЩГ+Г-ЩЦХШДССДА+ШХЦЩЩЦХШДДШХЦЩЗЗЩЦХШЩЦХШКЛДССДШХЦЩЗССЗЩЦХШДССДШХЦЩЗССЗЩЦХШДССССДШХЦЩЗССЗЩЦХШДССДЩХЦЩЗССЗЩЦХШЩЦХШДССДШХЦЩЩЦХШДССДШХЦЩЩЦХШДССССССДДСС
6	9	2	НОФХШККДСССР
6	9	3	НОИЛЛКА+ДССДККШХХШДСССССР
6	10	1	ПОИЛЕССЕЛЛЕССР
6	10	2	ПОМЛЛКЗССЗЩЦЦЩЩЦЦЩЩЦХШШХЦЩЗЗГ+ЗЗЩЩЗССЗЗССЗЩЦХШШХЦЩЩЦХШЗСССССССССТ
6	10	3	ПОИИИКДСР
6	10	4	НОФХША+ККДССДА-КИИИИИИИФЦЩГ+ЗЗККЗССЗЩЦХШШХЦЩЗЗЩЦЦЩЗСТ
6	11	1	НОИКА+ШШШХХШДСССЕЛКШХЦЩЗСЖЛЛВЖСЗЗСЖЛЛЖСЗГ+КЛЖСЗЩЦХШДССДШХЦЩЗССЗЩЦХШКЛБЛИИИООИИИИИИИЛЕР
6	11	2	ПОМЛЛЛЛМИКДСР
6	11	3	НОФЦЩЗССЗГ+КЛЖССТ
6	12	1	НОФХХХШДССДШХЦЩЗЗЩЦЦЦХША+ШХЦЦХХЦЩГ+ЩЦЦЩГ-ЩЦХШДСССЕБЕССССССР
6	12	2	НОФХШДСЕЛИИКДДШХЦЦХШДССДШХЦЩЗССЗЩЦХШДССДШХХШДСССРРСДШХЦЩЗССЗЩЦХШДССДШХЦЩЗССЗЩЦХШДССДШХЦЩЗСССССССТ
6	12	3	ПОФХХЦЩГ+ЗЗКЛЛКГ-ЩЦХХЦЩКЛЖСЗКЛЖЖЛЛЛКЩЦХША+ККДДШХХШДСЕЛКДССДА-ШХХШККДСЕЛКШХЦЩККЩЦХХХХХХФФЦЩКЛЖТТСЗКККЛЖТТССТ
6	13	1	НУОМЛЛКГ+ККЩЦХША+ШХХХЦЦХША-ДССДШХЦЩГ-ЩЦХШШХЦЩКЛЖСЗГ-ЗСЖВЛКГ-ЗСТ
6	13	2	НОИКШХЦЩГ+ЩЩХХЦЩЩЦХША+ШХХША-ККШХЦЦХША-ДСЕБЛКА-А-ДССДА-А-А-ДССДШХЦЩГ-Г-ЩЦХША-ДСЕБЛИООФЦЩГ-КЛЖТТСЗКЛЖТ
6	14	1	НОМЛВЖТТСЗГ+КММКГ-Г-ЗССЗГ-КЛЛКЩЩГ-ЗСТ
6	14	2	НОФЦЩЩЦХШДДШХЦЩКЛЖСЗГ+ЩЦХШКЛЕСДА+ШХХШДСРРСДШХЦЩЩЦХША-ДДА-ШХЦЩЗССЗЩЦХШДДШХХША-ДДШХЦЩЗСССТ
6	15	1	НОФФИИИИИИООООООМКГ+ЗССЗЩЩКЛЖТ
6	15	2	НОФЦЩГ+ЩЦФФЦЩГ-ЩЦФООМЛЖСССЗКЛЖТ
6	16	1	НОФЦЩГ+КККМООМКЩЦХШММММММММММЛЖЖЛККМООМКЗСССТ
6	16	2	НОФФМКГ+ЩЦЦЩККЩЦХША+ШХЦЩЗССЗЩЦХШДССДА-ШХЦЩГ-Г-Г-ЗССЗЩЦХШДСРРСССДШХХШДССДШХЦЩГ-ЗССЗЩЦЦЩЗССЗЩЦХШДДШХЦЩЗСЖЖТ
6	17	1	НОФЦЩГ+Г-ЗССЗГ-ЩЦХША+ДСЕБЛИМКГ-Г-ЩЦЦЩЗСЖЛЛЖСЗГ-КЛЖТТСЗЩЦХШКЛЕСДШХХШДССДШХЦЩЗССЗЩЦХШДСЕЛИИЛЛКДСССЕЛИФЦЩГ-КЛЛМИИМКЗСТТЖЛЛЖССЖЛЛЖТ
6	17	2	НОФФМКГ+Г-ЗСЖЛЛЖСЗЩЦХША-А+ШХФИЛККЛЛКДССДА-ШХЦЩЗСЖЖЛКЩЦХШКЛЕЕЛИМКЗЗЩЦХШДСЕЛИФЦЩКЛЖСЗЩЦХШКЛЛИМКЗСССТ
6	18	1	ПОФЦЩЗССЗЩЦХША+А-КИМКЩЦХШДСССЕЛИООООИИООИИИЛЕР
6	18	2	ПОФХША+ДСЕЛККИМККЛЖСЗЩЦХШДДШХЦЩЗСЖЛМООФХШКЛЛИООИККЛЛИМККЛЛКЩЦЦЩЗСТ
6	19	1	НОФФМКГ+ЩЦХША+ККДСЕЛКЩЦЦЩКЛЛККЛЖТ
6	19	2	НОФФООИКА+ШХЦЩГ+ЗССЗЩЦХШДСССЕЛИООМКЩЦХШККШХФФЦЩКЛЖТ
6	19	3	НОФЦЩКЛЖЖЛКЩЦХША+ШХХШДССДШХХША-КЛЕСДШХЦЩККГ-ЗСЖЛЛЖТ
6	19	4	НОФЦЩГ+КЛЛМИЛБЛКШХЦЩКМИКДОА+ШХЦЩЗССЗГ-КЛММКЗСЖВЛМООМККМИИККИМЛЖТ
6	20	1	НОФЦЩЗСЖЛКГ+ЗССЗЩЦХША+ШХЦЩЗСЖЛКЩЦХША+ШХЦЩЗССЗКЛЖТ
6	20	2	ПОФХШДССДА+ККШХХШДССДШХЦЩГ+ККЩЦХШДССДШХЦЩЗССЗЩЦХШДСР
6	20	3	НОФЦЩКЛЖТ
6	20	4	НОФФФФИККЛЕСДА-ДССДШХЦЩЗССЗЩЦХША+ШХЦЦХШДСРРЕЛКШХЦЩГ+ЩЦХШДССДА-ШХЦЩГ+КЛЖСЗЩЦХШДССДШХЦЩЗСТ
6	20	5	НОИККЛЛКККДССДА+КИФЦЦЦЩГ+ЩЦЦЩЗСЖЛМИЛЕР
6	21	1	НОФХШККШХЦЩЗССЗККЩЦФООФФООМЛЛКГ+ЗСЖЛЛВВЛКЩЦХА+ДССДКЛЕР
6	21	2	ПОФФООФФФЦЩКЛЛКЩЦХШКИМЛЖССЖЛМИА+ККШХЦЩЩЦЦЩГ+КЛЖТ
6	21	3	ПОИИМЛЖССТ
6	22	1	ПОФЦЩКЛЛМФЦЩЗСТ
6	22	2	НОМЛЖЖЛКЩЦХША+КИИКДССДККШХЦЦХШКИМЛЖСЗГ+ЩЦХША-КИФФМКЗСТ
6	22	3	НОФФМЛЛКЗТ
6	22	4	НОФХШДСЕЛКШХЦЩККГ+ЗССЗЩЦХША+ШХЦЩКЛЛККЛЖТ
6	22	5	НОООМКЩЦХХЦЩЩЦХШДСЕЛИМКЗСТ
6	22	6	НОФЩЦХШДДШХЦЩКЛЖСЗЗЗЩЦХШДДШХЦЩКЛЖСЗЩЦХШДССДШХЦЩЗССЗЗСТ
6	22	7	ПОМКЩЦХШККДДШХЦЩЗССЗГ+ЩЦЦЩЗСТТСЗЗССССЗЩЦЦЩЗССЗЩЦХШДДШХЦЩКЛЛККЩЦХШДССДШХХШДСССЕЛИМКККЩЦХХЦЩКЛЛКЩЦЦЩЗСТ
6	23	1	ПОФЦЩКЛЛКГ+ЗССЗЩЦХШККШХЦЩККЗСЖЛЛККМООМЛЖССТТСЗКЛМИЛЕР
6	23	2	НОМММКККЗССЗЩЦХША+ШХЦЩКМИИИИМКЩЩЗССЗЩЦХШКИМКЛЖТ
6	24	1	НОФФМККМИККККИИКДССДА+ККДДШХЦЩКЛЖТ
6	24	2	НОФФОМКГ+ЩЦХХЦЩККЗССЗККЩЦЦЩККЗССЗЩЦХША+ДСР
6	24	3	НОФФФЦЩКЛЛКККЩЦХША+ШХЦЩККЩЦЦЩКЛЖТ
